"zip";"individuals";"total_income";"average_income"
"33064";51570;2371195;45.980124103160755
"33065";52150;1440217;27.61681687440077
"33066";15030;512825;34.120093147039256
"33067";26110;1840460;70.4887016468786
"33068";49240;949964;19.292526401299757
"33069";23850;776855;32.57253668763103
"33070";5070;387671;76.463708086785
"33071";37520;1770659;47.19240405117271
"33073";29820;1056599;35.432562038900066
"33076";41390;3235423;78.16919545784006
"33109";520;1578682;3035.9269230769232
"33122";2000;137108;68.554
"33125";42080;798451;18.974596007604564
"33126";40940;1017379;24.850488519785053
"33127";22520;459133;20.38778863232682
"33128";5350;99372;18.574205607476635
"33129";12220;961176;78.65597381342062
"33130";23870;1136778;47.62371177209887
"33131";20640;3770810;182.69428294573643
"33132";12900;1292331;100.18069767441861
"33133";29000;5478828;188.92510344827585
"33134";35150;2921527;83.11598862019915
"33135";26990;526904;19.522193404964803
"33136";11670;269085;23.05784061696658
"33137";20820;1914073;91.93434197886647
"33138";23240;1304075;56.11338209982788
"33139";27320;8894945;325.5836383601757
"33140";17000;5397580;317.50470588235294
"33141";28520;2115889;74.18965638148667
"33142";43960;690903;15.716628753412193
"33143";27350;3642600;133.18464351005485
"33144";22790;608786;26.712856516015798
"33145";25210;891805;35.37504958349861
"33146";10670;1757361;164.70112464854734
"33147";42420;707621;16.68130598774163
"33149";12070;2108631;174.70016570008286
"33150";24550;439375;17.897148676171078
"33154";12990;3867494;297.72856043110085
"33155";40170;1605985;39.97971122728404
"33156";30440;5462849;179.46284494086729
"33157";61000;2267374;37.17006557377049
"33158";6130;696247;113.58026101141925
"33160";36970;4567243;123.53916689207466
"33161";44010;980647;22.282367643717336
"33162";40700;857807;21.076339066339067
"33165";49360;1533751;31.07275121555916
"33166";25100;1179492;46.99171314741036
"33167";17780;345652;19.440494938132733
"33168";25160;491940;19.552464228934817
"33169";37720;843193;22.35400318133616
"33170";14930;357002;23.911721366376423
"33172";37540;933660;24.871070857751732
"33173";29560;1265811;42.82175236806495
"33174";26750;676628;25.294504672897197
"33175";49930;1640956;32.86513118365712
"33176";46550;2479580;53.26702470461869
"33177";53530;1298818;24.263366336633663
"33178";58840;2032974;34.55088375254929
"33179";40670;1362598;33.5037619867224
"33180";29590;2209139;74.6582967218655
"33181";16210;769569;47.474953732264034
"33182";13090;484214;36.99113827349122
"33183";32970;1051091;31.880224446466485
"33184";18730;549794;29.35365723438334
"33185";27640;972707;35.19200434153401
"33186";64090;2250343;35.11223279762834
"33187";18610;608203;32.68151531434712
"33189";22930;629132;27.43706934147405
"33190";13580;352967;25.991678939617085
"33193";43090;1155998;26.827523787421676
"33194";6050;180219;29.788264462809916
"33196";48360;1462058;30.232795698924733
"33301";16930;4221554;249.35345540460722
"33304";16030;1708227;106.56437928883344
"33305";9730;1619351;166.42867420349435
"33306";3080;316879;102.8827922077922
"33308";25420;3213143;126.40216365066877
"33309";35150;963847;27.420967283072546
"33311";61030;1145731;18.773242667540554
"33312";45430;1786057;39.31448382126348
"33313";53120;964494;18.156890060240965
"33314";22940;712426;31.056059285091543
"33315";10930;603011;55.170265324794144
"33316";10960;3141259;286.6112226277372
"33317";34870;1311136;37.600688270719814
"33319";45550;1130349;24.81556531284303
"33321";44800;1299156;28.999017857142857
"33322";35190;1237841;35.17593066211992
"33323";21580;1140652;52.85690454124189
"33324";41630;2246787;53.97038193610377
"33325";28800;1326837;46.070729166666666
"33326";32700;1566005;47.89006116207951
"33327";21570;1462099;67.78391284191007
"33328";26260;1468402;55.917821782178216
"33330";14030;1324096;94.37605131860299
"33331";22250;1987951;89.34611235955056
"33332";10450;970478;92.8687081339713
"33334";25470;975583;38.30321947389085
"33351";33530;913222;27.23596779003877
"33401";23660;4382342;185.22155536770921
"33403";12100;296429;24.498264462809917
"33404";26740;1859175;69.52786088257292
"33405";17090;945590;55.33001755412522
"33406";24500;738155;30.128775510204083
"33407";27880;719800;25.817790530846484
"33408";16360;3679457;224.905684596577
"33409";28270;771521;27.29115670321896
"33410";32860;3395787;103.34105295191722
"33411";68180;2693048;39.49909064241713
"33412";15280;1139009;74.54247382198953
"33413";16100;463554;28.792173913043477
"33414";54970;4178747;76.01868291795525
"33415";44140;893858;20.250521069324876
"33417";27550;673178;24.434773139745918
"33418";39200;5379919;137.24283163265306
"33426";22530;769042;34.134132268086994
"33428";38660;1650839;42.701474392136575
"33430";18050;306077;16.957174515235458
"33431";15590;1957763;125.57812700449006
"33432";18520;5045534;272.43704103671706
"33433";40330;2426943;60.17711381105877
"33434";17730;1424629;80.35132543711224
"33435";32160;1686560;52.44278606965174
"33436";39230;1952522;49.77114453224573
"33437";33160;1623906;48.97183353437877
"33438";820;16280;19.853658536585368
"33440";17520;446456;25.482648401826484
"33441";23020;1059416;46.02154648132059
"33442";24060;912748;37.936325852036575
"33444";19700;1141699;57.954263959390865
"33445";27530;1397508;50.76309480566655
"33446";26280;3449743;131.2687595129376
"33449";9350;724886;77.52791443850268
"33455";17720;2989034;168.68137697516931
"33458";49950;3527583;70.62228228228228
"33460";28440;718443;25.261708860759494
"33461";38820;761231;19.609247810407005
"33462";29610;2490742;84.11827085444106
"33463";59560;1477147;24.800990597716588
"33467";52010;2318642;44.580696019996154
"33469";13880;2159989;155.61880403458213
"33470";31750;1313453;41.36859842519685
"33471";4340;100300;23.110599078341014
"33472";17340;968739;55.86730103806229
"33473";11090;1021823;92.13913435527502
"33476";5390;85894;15.935807050092764
"33477";10880;3481637;320.0034007352941
"33478";14360;1160470;80.81267409470752
"33480";9050;14661559;1620.061767955801
"33483";11050;5122851;463.6064253393665
"33484";20690;1093389;52.84625422909618
"33486";20240;1448792;71.5806324110672
"33487";17600;2322352;131.95181818181817
"33493";3270;43764;13.383486238532111
"33496";23050;4679003;202.99362255965292
"33498";14570;916404;62.896636925188744
"33510";26500;764361;28.843811320754718
"33511";50080;1651176;32.97076677316294
"33513";10680;338889;31.7311797752809
"33514";1620;39147;24.164814814814815
"33523";14780;414877;28.070162381596752
"33525";16300;562432;34.50503067484662
"33527";15820;455309;28.780594184576486
"33534";16750;398375;23.78358208955224
"33538";3950;103601;26.228101265822787
"33540";8490;216118;25.455594817432274
"33541";18320;495699;27.057805676855896
"33542";16540;380023;22.975997581620316
"33543";35590;1490957;41.8925821860073
"33544";26580;1036412;38.992174567343866
"33545";23770;806669;33.936432477913336
"33547";30000;1471536;49.0512
"33548";8040;537343;66.83370646766168
"33549";16300;709657;43.537239263803684
"33556";34150;2504736;73.34512445095169
"33558";27140;1521299;56.05375829034635
"33559";14110;529654;37.53749114103473
"33563";28700;581018;20.244529616724737
"33565";15410;488373;31.691953277092797
"33566";20220;610473;30.19154302670623
"33567";10340;301734;29.181237911025146
"33569";26840;933076;34.76438152011922
"33570";30990;823359;26.568538238141336
"33572";23670;1393154;58.857372201098435
"33573";29150;1068772;36.66456260720412
"33576";5760;232896;40.43333333333333
"33578";54230;1769553;32.630518163378206
"33579";44980;1445975;32.14706536238328
"33584";25580;726658;28.407271305707585
"33585";1080;34237;31.700925925925926
"33592";9880;426999;43.21852226720648
"33594";31620;1059351;33.50256166982922
"33596";28360;1241036;43.76008462623413
"33597";6840;165582;24.207894736842107
"33598";26050;790677;30.352284069097887
"33602";14920;1586822;106.3553619302949
"33603";16180;583957;36.09128553770086
"33604";32140;811653;25.253671437461108
"33605";13970;382622;27.388833214030065
"33606";14740;2282616;154.8586160108548
"33607";20450;810046;39.611051344743274
"33609";15720;1796204;114.26234096692112
"33610";39020;750087;19.22314197847258
"33611";28180;1949794;69.19070262597587
"33612";36820;789184;21.433568712656164
"33613";24890;1145864;46.037123342707915
